XCoord,YCoord,FID,NAME,ADDRESS
-83.05237385,42.31279768,79,Wellington,352 Wellington Ave
-82.99187058,42.23787729,80,Kominar,4650 Alpenrose Ave
-82.98152688,42.29689975,81,Mayfair,2539 Chandler Rd
-82.98696658,42.31083421,82,Ford Test Track,3001 Seminole St
-82.98373964,42.31197586,83,Westcott,3698 Alice St
-83.05793576,42.30001745,84,North Merritt,953 Merritt Dr
-83.04210806,42.26732439,85,Bellewood,2600 Youngstown St
-83.02236836,42.25951964,86,Curry,1400 Richardie Blvd
-83.00939013,42.24445101,87,Veterans Memorial,1120 Cousineau Rd
-83.00320504,42.24032592,88,Matthew Rodzik,545 Rodfam Dr
-82.98786805,42.23640715,89,Wolfe Lake,4823 Southwood Lakes Blvd
-82.98264380,42.23915436,90,Lake Laguna,5001 Southwood Lakes Blvd
-82.98780511,42.24079716,91,Lake Trail,846 Lake Trail Dr
-82.98581155,42.23991241,92,Herb Grey Nature Reserve,925 Lake Trail Dr
-82.98286411,42.24011200,93,Lake Grande,5014 Southwood Lakes Blvd
-82.97790347,42.24308887,94,North Talbot,1299 Highnoon Dr
-82.98514674,42.24596578,95,Goldenwood,4355 Goldenwood Dr
-82.98732560,42.24985621,96,Holburn,4211 Marlo Cres
-82.98532673,42.25679389,97,Roseland,870 Morand St
-82.97630186,42.25975434,98,Maple Leaf,3974 Maple Leaf Cres
-82.98678361,42.26111887,99,Patrick Maguire,3782 Holburn St
-83.00228103,42.26686318,100,Kenilworth,3466 Whiteside Dr
-82.99194789,42.27838106,101,Leafield,3083 Conservation Dr
-83.00792408,42.29479157,102,Parent,2286 Parent Ave
